Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19910212   ,0.87   ,0.52   ,0.50   ,0.74   ,0.60   ,0.54
19910213   ,1.10   ,0.75   ,0.82   ,0.49   ,0.49   ,0.47
19910214   ,0.50   ,0.24   ,0.36  ,-0.35  ,-0.32   ,0.14
19910215   ,0.23   ,0.44   ,0.47   ,0.27   ,0.09   ,0.66
19910218   ,1.18   ,0.85   ,0.84   ,1.34   ,1.45   ,1.71
19910219   ,0.09   ,0.17   ,0.12  ,-0.14  ,-0.31  ,-0.42
19910220  ,-0.21  ,-0.46  ,-0.51  ,-0.86  ,-0.97  ,-0.95
19910221   ,0.36   ,0.52   ,0.36  ,-0.03   ,0.16  ,-0.03
19910222  ,-0.06  ,-0.01   ,0.03  ,-0.16  ,-0.54  ,-0.49
19910225   ,0.07   ,0.32   ,0.37   ,0.82   ,0.71   ,0.73
19910226  ,-0.13  ,-0.08  ,-0.17  ,-0.77  ,-0.68  ,-0.84
19910227   ,0.46   ,0.52   ,0.19   ,0.18   ,0.33   ,0.68
19910228   ,0.88   ,0.89   ,0.94   ,0.36   ,0.41   ,0.55
19910301  ,-0.30  ,-0.26  ,-0.17  ,-1.04  ,-0.91  ,-0.87
19910304   ,0.53   ,0.77   ,0.70  ,-0.46  ,-0.39   ,0.10
19910305   ,1.04   ,1.05   ,0.97   ,1.22   ,0.95   ,0.86
19910306   ,0.52   ,0.65   ,0.79   ,0.47   ,0.88   ,1.06
19910307   ,0.13   ,0.00   ,0.06  ,-0.03  ,-0.09  ,-0.20
19910308  ,-0.13  ,-0.10   ,0.00   ,0.23  ,-0.18  ,-0.07
19910311  ,-0.40  ,-0.42  ,-0.20  ,-0.90  ,-0.81  ,-0.78
19910312   ,0.12  ,-0.02   ,0.08   ,0.50   ,0.53   ,0.15
19910313   ,0.17   ,0.03   ,0.03   ,0.07  ,-0.36  ,-0.40
19910314   ,0.46   ,0.40   ,0.36   ,0.65   ,0.63   ,0.58
19910315  ,-0.59  ,-0.48  ,-0.34   ,0.12  ,-0.06  ,-0.27
19910318  ,-0.50  ,-0.79  ,-0.52  ,-0.31  ,-0.55  ,-0.85
19910319  ,-0.85  ,-0.95  ,-0.96  ,-1.04  ,-1.00  ,-1.55
19910320  ,-0.08  ,-0.14  ,-0.16  ,-0.77  ,-0.89  ,-1.19
19910321   ,0.46   ,0.50   ,0.47   ,0.34   ,0.63   ,0.55
19910322   ,0.03  ,-0.12  ,-0.13   ,0.21   ,0.02  ,-0.14
19910325  ,-0.80  ,-0.92  ,-0.73  ,-0.80  ,-0.70  ,-0.74
19910326   ,0.54   ,0.16   ,0.32   ,0.74   ,0.14   ,0.31
19910327  ,-0.16  ,-0.03  ,-0.02  ,-0.41  ,-0.46  ,-0.41
19910328   ,0.02   ,0.36   ,0.35  ,-0.39  ,-0.31  ,-0.14
19910329   ,0.35   ,0.41   ,0.21   ,0.30   ,0.39   ,0.48
19910401   ,0.19   ,0.34   ,0.42  ,-0.39  ,-0.12  ,-0.14
19910402   ,1.25   ,0.99   ,0.95   ,2.27   ,1.79   ,1.54
19910403   ,1.06   ,0.88   ,0.81   ,1.15   ,1.22   ,1.28
19910404   ,0.55   ,0.65   ,0.66   ,0.60   ,0.70   ,0.62
19910405  ,-0.30  ,-0.28  ,-0.17  ,-0.45  ,-0.61  ,-0.50
19910408  ,-0.14  ,-0.27  ,-0.20  ,-0.17  ,-0.20  ,-0.37
19910409   ,0.64   ,0.59   ,0.45  ,-0.16   ,0.10   ,0.23
19910410  ,-0.38  ,-0.56  ,-0.39  ,-0.81  ,-0.72  ,-0.76
19910411   ,0.61   ,0.63   ,0.64   ,0.83   ,0.67   ,0.66
19910412   ,0.14   ,0.10   ,0.26   ,0.38   ,0.47   ,0.21
19910415   ,0.62   ,0.64   ,0.44   ,1.09   ,1.00   ,0.91
19910416   ,0.29   ,0.34   ,0.42   ,0.75   ,0.41   ,0.30
19910417   ,0.42   ,0.28   ,0.43  ,-0.02   ,0.15   ,0.47
19910418  ,-0.82  ,-0.82  ,-0.51  ,-1.17  ,-0.90  ,-0.71
19910419  ,-1.56  ,-1.40  ,-1.02  ,-1.76  ,-1.79  ,-1.66
19910422  ,-1.64  ,-1.63  ,-1.42  ,-1.50  ,-1.62  ,-1.94
19910423   ,0.55   ,0.58   ,0.37   ,0.80   ,1.07   ,1.14
19910424  ,-0.07  ,-0.10   ,0.06  ,-0.33  ,-0.16  ,-0.22
19910425  ,-0.30  ,-0.26  ,-0.25  ,-0.79  ,-0.73  ,-0.58
19910426  ,-0.37  ,-0.29  ,-0.27   ,0.05  ,-0.09  ,-0.24
19910429  ,-0.45  ,-0.28  ,-0.44  ,-0.50  ,-0.18  ,-0.21
19910430   ,0.55   ,0.57   ,0.37   ,0.93   ,0.94   ,0.95
19910501   ,0.59   ,0.45   ,0.42   ,1.29   ,0.75   ,1.01
19910502   ,0.33   ,0.42   ,0.26  ,-0.05   ,0.05   ,0.20
19910503  ,-0.43  ,-0.44  ,-0.36  ,-0.23  ,-0.49  ,-0.62
19910506   ,0.10   ,0.18   ,0.18  ,-0.03   ,0.12   ,0.29
19910507   ,0.23   ,0.63   ,0.43   ,0.07   ,0.13   ,0.30
19910508  ,-0.24  ,-0.21  ,-0.15  ,-0.43  ,-0.42  ,-0.51
19910509   ,0.18   ,0.16   ,0.12   ,0.39   ,0.13   ,0.16
19910510   ,0.03   ,0.02  ,-0.02  ,-0.44  ,-0.29  ,-0.04
19910513  ,-0.02   ,0.00  ,-0.09  ,-0.27  ,-0.41  ,-0.43
